scythe [saið] n.(割草用的)大镰刀
seam [si:m] n.缝，接缝(尤指布)
seamy ['si:mi] a.肮脏的，污秽的，恶劣的，丑恶的
sear [siə] v.(以烈火)烧灼，烧焦
seasoned ['si:znd] a.有经验的，训练有素的
seasoning ['si:zniŋ] n.调味品，佐料
secede [si'si:d] v.正式脱离或退出(组织)
secrete [si'kri:t] v.隐藏；分泌
secretive ['si:krətiv] a.守口如瓶的，爱保密的，爱把思想、情感深藏的
secular ['sekjulə] a.世俗的，尘世的
secure [si'kjuə] a.安全的；稳固的；v.固定；使安全
securities [si'kjuəritiz] n.有价证券
sedate [si'deit] a.(人或人的行为)镇静的
sedative ['sedətiv] a.(药物)镇静的；n.镇静剂
sedentary ['sedəntəri] a.久坐的
sediment ['sedimənt] n.沉淀物，渣
sedulity [si'dju:liti] n.勤奋，勤勉
sedulous ['sedjuləs] a.勤勉的
seedling ['si:dliŋ] n.幼苗
seemly ['si:mli] a.得体的，适宜的(合乎礼仪的)
seep [si:p] v.(液体等)渗漏
seethe [si:ð] v.(液体)沸腾，汹涌
segment ['seɡmənt] n.一部分
seine [sein] n.大捕鱼网
seismic ['saizmik] a.地震的，有地震引起的
semblance ['sembləns] n.外貌；相似
seminal ['si:minl] a.有创意的；对以后发展有巨大影响的
seminary ['seminəri] n.神学院
sensation [sen'seiʃən] n.知觉；轰动(的事)
sensible ['sensəbl] a.明智的，合理的；可感觉到的
sensitive ['sensitiv] a.敏感的
sensitivity [,sensi'tiviti] n.敏感，灵敏性
sensitization [,sensitai'zeiʃən] n.敏感化
sentient ['senʃənt] a.有知觉的；知悉的，察觉到的
sentiment ['sentimənt] n.(对怜悯、怀旧等的)柔懦情感(尤与理智相对)
sentinel ['sentinl] n.哨兵，卫兵
separate ['sepəreit] v.使分开；a.不同的；独自的，分开的，单独存在的
septic ['septik] a.受感染的
sepulchral [si'pʌlkrəl] a.坟墓的；阴深的
sequential [si'kwinʃəl] a.连续的，一连串的，按次序的
sequester [si'kwestə] v.(使)隐退；使隔离，使隔绝
seraphic [se'ræfik] a.如天使般的，美丽的
sere [siə] a.干枯的，凋萎的
serene [si'ri:n] a.清澈的，晴朗的；安静的，平静的
