collage [kə'lɑ:ʒ] n.拼贴画
collapse [kə'læps] v.坍塌，塌陷；虚脱，晕倒
collar ['kɔlə] n.衣领；戴在动物颈部的项圈
collate [kɔ'leit] v.对照，核对
collateral [kə'lætərəl] a.平行的；旁系的，次要的，附属的；n.担保品
collected [kə'lektid] a.泰然自若的
collection [kə'lekʃən] n.收藏品
collision [kə'liʒən] n.碰撞，冲突
colloquial [kə'ləukwiəl] a.口语的，口头的
colloquium [kə'ləukwiəm] n.学术讨论会
collude [kə'lu:d] v.串通，共谋
colon [kəu'lən] n.冒号
colonize ['kɔlənaiz] v.建立殖民地
colonnade [,kɔlə'neid] n.柱廊(一排柱子长廊)
colony ['kɔləni] n.菌群；殖民地
coloration [kʌlə'reiʃən] n.着色法，染色法；颜色，色泽
colossal [kə'lɔsl] a.巨大的，庞大的
colossus [kə'lɔsəs] n.巨人；巨型雕像
coltish ['kəultiʃ] a.似小马的；不受拘束的
coma ['kəumə] n.昏迷状态
comatose ['kəumətəus] a.昏迷的
combat ['kɔmbət] n./v.格斗，搏斗
combustible [kəm'bʌstəbl] a.易燃的；易激动的
comedienne [kə,medi'en] n.说笑话、演滑稽剧等的女演员
comely ['kʌmli] a.吸引人的，美丽的
comic ['kɔmik] a.可笑的；喜剧的；n.喜剧演员
comity ['kɔmiti] n.礼让，礼仪
comma ['kɔmə] n.逗号
commemorate [kə'meməreit] v.纪念(伟人、大事件等)
commence [kə'mens] v.开始，倡导
commencement [kə'mensmənt] n.开始；(大学的)毕业典礼
commensurate [kə'menʃərit] a.同样大小的；相称的
commentary ['kɔməntəri] n.实况报道；(对书等的)集注
commingle [kɔ'miŋɡl] v.搀和，混合
commission [kə'miʃən] n.委托；佣金
commit [kə'mit] v.托付；承诺；犯罪
committed [kə'mitid] a.(对事业，本职工作等)尽忠的
commodious [kə'məudiəs] a.宽敞的
commodity [kə'mɔditi] n.商品
commonplace ['kɔmənpleis] a.平常的，平庸的
commonsense [,kɔmən'sens] a.具有常识的
commonwealth ['kɔmənwelθ] n.共和国，联邦
commotion [kə'məuʃən] n.骚动，动乱
communal ['kɔmjunl] a.全体共用的，共享的
commune [kə'mju:n] n.公社；v.与某人亲密地交谈
communicate [kə'mju:nikeit] v.传送信息，沟通
commute [kə'mju:t] v.交换；坐公交车上下班
compact ['kɔmpækt] a.结实的；简洁明了的；n.合同，协议
companion [kəm'pænjən] n.同伴，同伙；受雇的陪伴人
comparison [kəm'pærisn] n.比较，对照；比喻
compartment [kəm'pɑ:tmənt] n.隔间，车厢
compass ['kʌmpəs] n.指南针，罗盘；界限，范围
compassion [kəm'pæʃən] n.同情，怜悯
compassionate [kəm'pæʃənit] a.有同情心的
compatible [kəm'pætəbl] a.和谐共处的，相容的
compatriot [kəm'pætriət] n.同胞，同国人
compel [kəm'pel] v.强迫
compelling [kəm'peliŋ] a.引起兴趣的
compendium [kəm'pendiəm] n.简要，概略
compensate ['kɔmpənseit] v.补偿，赔偿
compensatory [kəm'pensətəri] a.补偿性的，报酬的
compete [kəm'pi:t] v.竞争，对抗
competence ['kɔmpətəns] n.胜任，能力
compile [kəm'pail] v.汇集；编辑
complacency [kəm'pleisənsi] n.满足，安心
complacent [kəm'pleisnt] a.自满的，得意的
complaisance [kəm'pleizəns] n.彬彬有礼，殷勤，柔顺
complaisant [kəm'pleizənt] a.顺从的，讨好的
complementary [kɔmplə'mentəri] a.互补的
compliance [kəm'plaiəns] n.顺从，遵从
compliant [kəm'plaiənt] a.服从的，顺从的
complicate ['kɔmplikeit] v.使某事复杂化
compliment ['kɔmplimənt] n./v.恭维，称赞
comply [kəm'plai] v.遵循，顺从
component [kəm'pəunənt] n.成分，零部件
compose [kəm'pəuz] v.写，创作；组成
composed [kəm'pəuzd] a.镇定的，沉着的
composer [kɔm'pəuzə] n.作曲家
compost ['kɔmpɔst] n.混合肥料
composure [kəm'pəuʒə] n.镇静，沉着；自若
compound ['kɔmpaund] n.复合物；v.掺和
comprehend [,kɔmpri'hend] v.理解；包括
comprehensible [,kɔmpri'hensəbl] a.能充分理解的
comprehensive [,kɔmpri'hensiv] a.全面的，综合的
compress [kəm'pres] v.压缩，浓缩
compromise ['kɔmprəmaiz] v.妥协，折中；危害
compulsion [kəm'pʌlʃ(ə)n] n.强迫；难以抗拒的冲动，欲望
compunction [kəm'pʌŋkʃ(ə)n] n.懊悔，良心不安
concatenate [kɔn'kætineit] v.连结；连锁
concave ['kɔn'keiv] a.凹的
conceal [kən'si:l] v.隐藏，隐瞒
concede [kən'si:d] v.承认(为正确)；让步
conceit [kən'si:t] n.自负，自大
conceive [kən'si:v] v.想像，构想；怀孕
concentrate ['kɔnsəntreit] v.集中，浓缩
conception [kən'sepʃən] n.概念；开始
concerto [kən'tʃerto] n.协奏曲
concession [kən'seʃən] n.让步
conciliate [kən'silieit] v.安抚，使和解，调和
conciliatory [kən'siliətəri] a.抚慰的，调和的
concise [kən'sais] a.简洁的
conclave ['kɔŋkleiv] n.秘密会议
conclusive [kən'klu:siv] a.最后的，结论的；确凿的，消除怀疑的
concomitant [kən'kɔmitənt] a.伴随而来的
concord ['kɔŋkɔ:d] n.和睦；公约
concrete ['kɔnkri:t] a.具体存在的；n.混凝土
concur [kən'kə:] v.意见相同，一致
concussion [kən'kʌʃən] n.脑震荡；强烈震动
condemn [kən'dem] v.极力谴责；判刑
condense [kən'dens] v.浓缩
condescend [kɔndi'send] v.屈尊，俯就
condescending [kɔndi'sendiŋ] a.谦逊的，故意屈尊的
condone [kən'dəun] v.宽恕，原谅
conducive [kən'dju:siv] a.有助于„的
conduct ['kɔndʌkt, kən'dʌkt] n.品德，行为；v.领导，引导
conduit ['kɔndit] n.渠道，引水道；水管
cone [kəun] n.松果；圆锥体
confection [kən'fekʃən] n.甜食，糖果
confederacy [kən'fedərəsi] n.联盟或同盟
confer [kən'fə:] v.讨论，商谈；赠予
conference ['kɔnfərəns] n.讨论会，协商会
confess [kən'fes] v.承认，供认
confide [kən'faid] v.（信赖的）倾诉
confidence ['kɔnfidəns] n.信任，自信，信心
confidential [kɔnfi'denʃəl] a.机密的
configuration [kən,fiɡju'reiʃən] n.结构，配置；轮廓
confine ['kɔnfain] v.限制，禁闭
confirm [kən'fə:m] v.证实，证明
confiscate ['kɔnfiskeit] v.没收；充公
conflagration [,kɔnflə'ɡreiʃən] n.建筑物或森林大火
conflate [kən'fleit] v.合并
conflict ['kɔnflikt, kən'flikt] v./n.斗争，战斗；冲突，抵触
conform [kən'fɔ:m] v.符合或遵守公认的规则
conformist [kɔn'fɔ:mist] n.尊奉者，英国国教徒
conformity [kən'fɔ:miti] n.一致，遵从；顺从
confound [kən'faund] v.使迷惑，搞混
confront [kən'frʌnt] v.面临；对抗
congeal [kən'dʒi:l] v.冻结，凝固
congenial [kən'dʒi:njəl] a.意气相投的；性情好的
congest [kən'dʒest] v.使拥挤；充血
conglomerate [kɔn'ɡlɔmərit] v.集聚成团
congregate ['kɔŋɡriɡeit] v.聚集，集合
congruent ['kɔŋɡruənt] a.(形状大小)全等的，一致的
congruous ['kɔŋɡruəs] a.一致的，符合的；[数]全等的
conifer ['kəunifə] n.针叶树
conjecture [kən'dʒektʃə] v./n.推测，臆测
conjoin [kən'dʒɔin] v.使结合
conjunction [kən'dʒʌŋkʃən] n.联合；连词
conjure ['kʌndʒə] v.恳求，祈求；变魔术，变戏法
connive [kə'naiv] v.默许；纵容(错误)；共谋(阴谋)
connoisseur [,kɔni'sə:] n.鉴赏家，行家
connotation [,kɔnəu'teiʃən] n.言外之意，含蓄义
conquer ['kɔŋkə] v.以武力征服
conquest ['kɔŋkwest] n.征服；战利品
conscience ['kɔnʃəns] n.良心，是非感
conscientious [,kɔnʃi'enʃəs] a.小心尽责的；小心谨慎的
conscript ['kɔnskript] v.强行征兵，征召
consensus [kən'sensəs] n.意见一致
