tarpaulin [tɑ:'pɔlin] n.防水油布
tart [tɑ:t] a.酸的；尖酸的
tasty ['teisti] a.味道好的
tatty ['tæti] a.破烂的，不整洁的
taut [tɔ:t] a.绷紧的，拉进的
tauten ['tɔ:tn] v.拉紧，绷紧
tawdry ['tɔ:dri] a.华而不实的，俗丽的
taxing ['tæksiŋ] a.繁重的
taxonomist [tæk'sɔnəmist] n.分类学家
tear [tiə] v.撕裂
tease [ti:z] v.逗乐，戏弄；强求，勒索(用甜言蜜语)；n.揶揄，戏弄，取笑
technocrat ['teknəkræt] n.技术管理人员
tedious ['ti:diəs] a.因冗长而沉闷、乏味的
tedium ['ti:diəm] n.单调乏味
teeter ['ti:tə] v.摇晃地站立或移动
telling ['teliŋ] a.有效的，显著的
temerity [ti'meriti] n.鲁莽，大胆
temp [temp] v.做临时工作
temper ['tempə] v.锤炼；缓和；n.脾气
tempest ['tempist] n.暴风雨；骚动，风波
tempestuous [tem'pestjuəs] a.有暴风雨的；动乱的
tempo ['tempəu] n.(动作、生活的)步调，速度；(乐曲的)拍子
temporal ['tempərəl] a.时间的；世俗的
temporize ['tempəraiz] v.拖延时间(暂缓决定或说明)；见风使舵，顺应时势
temptation [temp'teiʃən] n.诱惑，诱惑物
tenable ['tenəbl] a.站得住脚的，无懈可击的，可防守的
tenacious [ti'neiʃəs] a.坚韧不拔的，坚决的
tenacity [ti'næsiti] n.坚持，固执
tenant ['tenənt] n.房客，租户
tend [tend] v.照料，看顾；倾向于„，易于„
tendentious [ten'denʃəs] a.有偏见的，有倾向性的
tender ['tendə] v.提出(希望对方接受的意见等)；a.温柔的
tenet ['tenit] n.信念；信条；教义
tenor ['tenə] n.男高音；要点，要旨
tension ['tenʃən] n.紧张，焦虑；张力
tentative ['tentətiv] a.试探性的，尝试性的
tenuous ['tenjuəs] a.细薄的，稀薄的；空洞的，无关紧要的
tenure ['tenjuə] n.任期；终身职位
tepid ['tepid] a.微温的
terminal ['tə:minl] a.末端的；n.终点站，终端
terminate ['tə:mineit] v.终止，结束
termination [,tə:mi'neiʃən] n.终点
terminology [,tə:mi'nɔlədʒi] n.专用术语；术语学
terminus ['tə:minəs] n.(火车，汽车)终点站
termite ['tə:mait] n.白蚁
terrace ['terəs] n.一层梯田；阳台
terrain ['terein] n.地势，地形
terrestrial [ti'restriəl] a.地球的；陆地的
terse [tə:s] a.简洁的，简明的
testament ['testəmənt] n.遗嘱；证明
testator [tes'teitə] n.立遗嘱的人
testify ['testifai] v.见证，证实(尤指出庭)
testimony ['testiməni] n.证词，证明
testiness ['testinis] n.易怒
testy ['testi] a.性急的，暴躁的
tether ['teðə] v.用绳或链拴住(牲畜)；n.(拴牲畜的)绳或链；(能力等的)限度，范围
texture ['tekstʃə] n.质地；结构
thatch [θætʃ] v.以茅草覆盖；n.茅草屋顶，茅草
thaw [θɔ:] v.解冻，溶化
thematic [θi:'mætik] a.主题的
theocracy [θi'ɔkrəsi] n.神权政治
theoretical [θiə'retikəl] a.不切实际的；理论(上)的
therapeutic [,θerə'pju:tik] a.治病的，治疗的
thermal ['θə:məl] a.热的，热量的；温暖的；n.热气流
thesis ['θi:sis] n.论题，论文
thicket ['θikit] n.树丛，灌木丛
thorn [θɔ:n] n.(植物的)刺；荆棘
thread [θred] n.螺纹
threadbare ['θredbeə] a.磨破的；陈腐的
threat [θret] n.威胁，恐吓；凶兆
thrive [θraiv] v.茁壮成长，繁荣兴旺
throne [θrəun] n.王座，御座；王位
throng [θrɔŋ] n.一大群；v.拥挤
throwback ['θrəubæk] n.(生)返祖现象
thrust [θrʌst] v.猛力推；刺，戳
thwart [θwɔ:t] v.阻挠成事，阻止(计划等)实现
tickler ['tikl] n.棘手的问题，难题
ticklish ['tikliʃ] a.怕痒的；易怒的
tidy ['taidi] a.整齐的，整洁的
tiff [tif] n.吵嘴，呕气
tightfisted ['taitfistid] a.吝啬的，极小气的
tilt [tilt] v.(使)倾斜；n.倾斜，斜坡
timber ['timbə] n.木材；(人)品质
timbre ['timbə] n.音色，音质
timely ['taimli] a.适时的，及时的
timid ['timid] a.胆怯的
timidity [ti'miditi] n.胆怯
timorous ['timərəs] a.胆小的，胆怯的
tinder ['tində] n.火种，易燃物，引火物
tined [taind] a.尖的，尖头突出的
tinker ['tiŋkə] n.补锅工人；v.拙劣修补
tint [tint] n.淡色；色泽(颜色深淡的程度)；v.给„淡淡地着色
tirade [tai'reid] n.长篇的攻击性讲话
tire ['taiə] n.轮胎(tyre)；v.疲劳
tissue ['tisju:] n.细胞组织；薄纸，棉纸
titanic [tai'tænik] a.巨人的，力大无比的
titular ['titjulə] a.有名无实的，名义上的
toady ['təudi] n.谄媚者，马屁精
toil [tɔil] v./n.长时间辛勤劳作
tolerance ['tɔlərəns] n.容许偏差，公差；容忍，忍受
toll [təul] n.过路(桥)费；伤亡人数，损失；v.(缓慢而有规律地)敲(尤指丧钟)
tombstone ['tu:mstəun] n.墓碑，墓石
tongs [tɔŋz] n.夹子，钳子
tonic ['tɔnik] n.增进健康之物，补品；a.滋补的
tonsorial [tɔn'sɔ:riəl] a.理发师的，理发的
topple ['tɔpl] v.倾覆，推倒
torment ['tɔ:ment] n.(肉体或精神上的)折磨，痛苦
tornado [tɔ:'neidəu] n.飓风，龙卷风
torpid ['tɔ:pid] a.懒散的；迟缓的，迟钝的
torpor ['tɔ:pə] n.懒散；迟钝
torque [tɔ:k] n.转(力)矩，扭转力；项圈
torrent ['tɔrənt] n.洪流，急流
torrential [tɔ'renʃəl] a.似急流的，洪流的
tortuous ['tɔ:tjuəs] a.弯弯曲曲的
toss [tɔs] v.(随意或漫无目的地)投，掷；使来回摇动
totalitarian [,təutæli'teəriən] a.极权主义的
totem ['təutəm] n.图腾，徽章
totter ['tɔtə] v.摇摇欲坠；步履蹒跚
touchy ['tʌtʃi] a.敏感的，易发脾气的
toupee ['tu:pei] n.男用假发
tournament ['tuənəmənt] n.比赛；(旧时)骑士比武大会
tourniquet ['tuəniket] n.止血带
tout [taut] v.招揽顾客；极力赞扬
toxic ['tɔksik] a.有毒的，中毒的
toxin ['tɔksin] n.毒素，毒质
toy [tɔi] v.不认真地考虑；漫不经心地玩弄
traceable ['treisəbl] a.可追踪的
track [træk] n.足迹，踪迹；轨道；小道，小路；v.跟踪
tract [trækt] n.(政治或宗教内容的)传单；大片土地
tractability [,træktə'biliti] n.温顺
tractable ['træktəbl] a.易于驾驭的，温顺的
tragedy ['trædʒidi] n.悲剧，惨事，灾难
trait [treit] n.人的显著特性
traitor ['treitə] n.卖国贼，叛徒
trajectory [trə'dʒekətəri] n.(抛射物)弹道轨道
trample ['træmpl] v.踩坏，踏伤
trance [trɑ:ns] n.恍惚，出神；昏睡状态
tranquility [træŋ'kwiliti] n.宁静，安静
transaction [træn'zækʃən] n.办理，交易
transcend [træn'send] v.超越，胜过
transcendent [træn'sendənt] a.超越的，卓越的，出众的
transcendental [,trænsen'dentl] a.超越经验的，先验的
transcribe [træns'kraib] v.抄写，转录
transfer [træns'fə:] v.转移，传递；调任；转让(财产等)
transfigure [træns'fiɡə] v.美化，改观(外表)
transgress [træns'ɡres] v.违背(法律或道德的限度)
transgression [træns'ɡreʃən] n.违法
transience ['trænziəns] n.短暂
transient ['trænziənt] a.短暂的，转瞬即逝的
transition [træn'ziʃən] n.过渡时期，转变
transitory ['trænsitəri] a.短暂的
translucent [trænz'lju:snt] a.(半)透明的
transmit [trænz'mit] v.传送，传播
transmute [trænz'mju:t] v.变化，变作
transparent [træns'peərənt] a.透明的；(性格)直率的
transplantation ['trænsplɑ:n'teiʃən] n.移植
transport [træns'pɔ:t] v.运输；n.狂喜
transpose [træns'pəuz] v.互换位置，调换
trapeze [trə'pi:z] n.(杂技用)空中秋千
traverse ['trævə:s] v.横穿过，横跨
travesty ['trævisti] v./n.歪曲拙劣地(的)模仿
treacherous ['tretʃərəs] a.背叛的，不忠的；奸诈的
treason ['tri:zn] n.叛国罪
treatise ['tri:tiz] n.(专题)论文
treaty ['tri:ti] n.(国与国之间的)条约；(人与人之间的)协议
tremendous [tri'mendəs] a.惊人的；巨大的；极好的
tremor ['tremə] n.震动，地震
trenchant ['trentʃənt] a.(言论，论据)一针见血的，犀利的
trend [trend] v./n.趋势，倾向
trepidation [,trepi'deiʃən] n.恐惧，惶恐
trespass ['trespəs] v.侵犯，闯入私人领地
tribunal [trai'bju:nl] n.法庭，裁判所
tribute ['tribju:t] n.赞辞；贡物，贡品
trickle ['trikl] v.成小股流动；n.细流
trifle ['traifl] n.微不足道的琐事
trigger ['triɡə] n.扳机；v.引发，导致
trilogy ['trilədʒi] n.(小说或戏剧)三部曲
trim [trim] v.修剪；a.井井有条的
trinket ['triŋkit] n.小装饰品；不值钱的珠宝
trio ['tri:əu] n.三重奏，三重唱；三人小组
tripod ['traipɔd] n.画架，三脚架
trite [trait] a.陈腐的，陈词滥调的
triumph ['traiəmf] v./n.凯旋，胜利，欢欣
trivial ['triviəl] a.琐细的，不重要的
trophy ['trəufi] n.奖品，战利品
troupe [tru:p] n.歌唱团，剧团
trowel ['trauəl] n.泥刀，小铲子
truancy ['tru:ənsi] n.逃学，旷课
truce [tru:s] n.停战，休战(协定)
truculent ['trʌkjulənt] a.残暴的，凶狠的
trudge [trʌdʒ] v.跋涉，吃力地走
trumpet ['trʌmpit] n.喇叭，小号
truncate ['trʌŋkeit] v.把(某物)截短，去尾
trunk [trʌŋk] n.树干；大衣箱
truss [trʌs] n.桁架，支架；干草的一捆
trustworthy ['trʌst,wə:ði] a.值得信赖的，可靠的
tuber ['tju:bə] n.(植物)块茎，球根
tumult ['tju:mʌlt] n.乱哄哄，骚乱(声)
turbulent ['tə:bjulənt] a.导致动乱的；骚乱的
turgid ['tə:dʒid] a.浮肿的，肿胀的；(贬)(文，语言)浮夸的
turmoil ['tə:mɔil] n.混乱，骚乱
turncoat ['tə:nkəut] n.背叛者，变节者
turpitude ['tə:pitju:d] n.邪恶，卑鄙(行为)
turquoise ['tə:kwɔiz] n.绿松石；a.蓝绿的
turret ['tʌrit] n.塔楼，角塔
tusk [tʌsk] n.(象)长牙
tussle ['tʌsl] v./n.扭打，搏斗；争辩
tutor ['tju:tə] n.助教；监护人；v.辅导
tuxedo [tʌk'si:dəu] n.无尾礼服(半正式晚礼服)
twig [twiɡ] n.小枝，嫩枝
twinge [twindʒ] n.(生理，心理上的)剧痛
typo ['taipəu] n.排印错误
